LastUpdate,CurrentDate,Popularity
07/05/2024 16:05,07/05/2024 09:00,1
13/05/2024 12:45,14/05/2024 09:00,1
22/04/2024 08:20,23/04/2024 09:00,1
30/03/2024 17:30,31/03/2024 09:00,1
05/02/2024 14:10,06/02/2024 09:00,1
11/01/2024 19:55,12/01/2024 09:00,1
17/12/2023 11:25,18/12/2023 09:00,1
23/11/2023 20:15,24/11/2023 09:00,1
29/10/2023 15:40,30/10/2023 09:00,1
26/04/2024 18:05,02/05/2024 09:00,0
21/02/2024 18:05,01/03/2024 09:00,0
10/01/2024 18:05,20/01/2024 09:00,0
12/12/2023 18:05,23/12/2023 09:00,0
01/11/2023 18:05,12/11/2023 09:00,0
05/09/2023 18:05,17/09/2023 09:00,0
07/08/2023 18:05,21/08/2023 09:00,0
14/06/2023 18:05,29/06/2023 09:00,0
17/05/2023 18:05,01/06/2023 09:00,0
28/03/2023 18:05,13/04/2023 09:00,0
02/02/2023 18:05,17/02/2023 09:00,0
04/09/2023 10:05,05/09/2023 09:00,1
11/08/2023 18:50,12/08/2023 09:00,1
17/07/2023 13:35,18/07/2023 09:00,1
23/06/2023 22:25,24/06/2023 09:00,1
29/05/2023 16:20,30/05/2023 09:00,1
04/04/2023 12:15,05/04/2023 09:00,1
10/03/2023 20:00,11/03/2023 09:00,1
15/02/2023 15:45,16/02/2023 09:00,1
21/01/2023 11:30,22/01/2023 09:00,1
27/12/2022 18:10,28/12/2022 09:00,1
02/11/2022 14:55,03/11/2022 09:00,1
11/12/2022 18:05,26/12/2022 09:00,0
20/11/2022 18:05,05/12/2022 09:00,0
29/09/2022 18:05,14/10/2022 09:00,0
04/08/2022 18:05,19/08/2022 09:00,0
13/06/2022 18:05,28/06/2022 09:00,0
17/05/2022 18:05,01/06/2022 09:00,0
28/03/2022 18:05,12/04/2022 09:00,0
06/02/2022 18:05,21/02/2022 09:00,0
15/12/2021 18:05,30/12/2021 09:00,0
20/11/2021 18:05,05/12/2021 09:00,0
